Date,Open,High,Low,Close,Adj Close,Volume (in Exp),day ,month,year,Volume
07-06-2005,7.434935093,7.497247219,7.264764786,7.335334778,7.308839798,971947080,7,6,2005,971947080
08-06-2005,7.328578949,7.337087154,6.956956863,6.995995998,6.97072649,1027007964,8,6,2005,1027007964
09-06-2005,7.125124931,7.219719887,7.021020889,7.164915085,7.139035225,656986356,9,6,2005,656986356
10-06-2005,7.181931973,7.189188957,7.007507801,7.069570065,7.044034958,507356136,10,6,2005,507356136
13-06-2005,7.002502918,7.111862183,6.919919968,7.075826168,7.050268173,511615872,13,6,2005,511615872
14-06-2005,6.971722126,7.038037777,6.950701237,6.965715885,6.940556049,403272324,14,6,2005,403272324
15-06-2005,6.881882191,6.93943882,6.69244194,6.876876831,6.85203743,834488676,15,6,2005,834488676
16-06-2005,6.863362789,6.964464188,6.833583832,6.942943096,6.917865276,497997504,16,6,2005,497997504
17-06-2005,6.981982231,7.014514923,6.904404163,7.014514923,6.989178658,416958624,17,6,2005,416958624
20-06-2005,6.909159184,7.19894886,6.800049782,7.174674988,7.148759842,840147012,20,6,2005,840147012
21-06-2005,7.208959103,7.264764786,7.131381035,7.203203201,7.177185059,604686708,21,6,2005,604686708
22-06-2005,7.248999119,7.31531477,7.223974228,7.239739895,7.213590145,418541040,22,6,2005,418541040
23-06-2005,7.207207203,7.37762785,7.169670105,7.25,7.223813057,561693744,23,6,2005,561693744
24-06-2005,7.279779911,7.457457066,7.246747017,7.438689232,7.411820889,710137152,24,6,2005,710137152
27-06-2005,7.479979992,7.61936903,7.353854179,7.610109806,7.582622051,711403884,27,6,2005,711403884
28-06-2005,7.664665222,7.738988876,7.55755806,7.55755806,7.530260086,760698540,28,6,2005,760698540
29-06-2005,7.57006979,7.617116928,7.311060905,7.325325012,7.298866272,731216052,29,6,2005,731216052
30-06-2005,7.365866184,7.48073101,7.283283234,7.361111164,7.334522724,603172224,30,6,2005,603172224
01-07-2005,7.383382797,7.413413048,7.237738132,7.288538933,7.26221323,368734896,1,7,2005,368734896
05-07-2005,7.309810162,7.406907082,7.263012886,7.400149822,7.373420238,299460240,5,7,2005,299460240
06-07-2005,7.439939976,7.447446823,7.291791916,7.295294762,7.268944263,319691988,6,7,2005,319691988
07-07-2005,7.241991997,7.402401924,7.219970226,7.395895958,7.36918211,426457116,7,7,2005,426457116
08-07-2005,7.413663864,7.444944859,7.3586092,7.413163185,7.386386871,298005696,8,7,2005,298005696
11-07-2005,7.417417049,7.422421932,7.282783031,7.341091156,7.314575195,335276388,11,7,2005,335276388
12-07-2005,7.342092037,7.367366791,7.28053093,7.301802158,7.275428295,234361404,12,7,2005,234361404
13-07-2005,7.32006979,7.488488197,7.309810162,7.478979111,7.451965332,457058484,13,7,2005,457058484
14-07-2005,7.641140938,7.676425934,7.509259224,7.529779911,7.50258255,426281292,14,7,2005,426281292
15-07-2005,7.538538933,7.592593193,7.502001762,7.537287235,7.510062695,337198464,15,7,2005,337198464
18-07-2005,7.507507801,7.555055141,7.451200962,7.495995998,7.468920231,248063688,18,7,2005,248063688
19-07-2005,7.560060024,7.766517162,7.552553177,7.755255222,7.7272439,504351144,19,7,2005,504351144
20-07-2005,7.646896839,7.82307291,7.552553177,7.807807922,7.779606342,571843584,20,7,2005,571843584
21-07-2005,7.859108925,7.952952862,7.788037777,7.856356144,7.827979088,790784424,21,7,2005,790784424
22-07-2005,7.666916847,7.738988876,7.415666103,7.567567825,7.540233612,934536528,22,7,2005,934536528
25-07-2005,7.567317009,7.589839935,7.381381035,7.403654099,7.376912117,385965648,25,7,2005,385965648
26-07-2005,7.382633209,7.457457066,7.309559822,7.409659863,7.382896423,392283324,26,7,2005,392283324
27-07-2005,7.450951099,7.463212967,7.317317009,7.430681229,7.403841496,288427284,27,7,2005,288427284
28-07-2005,7.442693233,7.442693233,7.339338779,7.344844818,7.318315029,236786976,28,7,2005,236786976
29-07-2005,7.310811043,7.328328133,7.181931973,7.201200962,7.175190449,334197468,29,7,2005,334197468
01-08-2005,7.210209846,7.319819927,7.209710121,7.297547817,7.271189213,226269504,1,8,2005,226269504
02-08-2005,7.297297001,7.495494843,7.285284996,7.487236977,7.460193157,291316392,2,8,2005,291316392
03-08-2005,7.457457066,7.500501156,7.397397041,7.439939976,7.413067341,236986776,3,8,2005,236986776
04-08-2005,7.396145821,7.482481956,7.388638973,7.450701237,7.423789501,209250540,4,8,2005,209250540
05-08-2005,7.444944859,7.470220089,7.290040016,7.316065788,7.28963995,237350412,5,8,2005,237350412
08-08-2005,7.347346783,7.398649216,7.269519806,7.288538933,7.26221323,179092728,8,8,2005,179092728
09-08-2005,7.306305885,7.324324131,7.219970226,7.296546936,7.270191669,230940828,9,8,2005,230940828
10-08-2005,7.289790154,7.315566063,7.129128933,7.149148941,7.123326302,274884840,10,8,2005,274884840
11-08-2005,7.154404163,7.171671867,7.022522926,7.108357906,7.08268261,300295404,11,8,2005,300295404
12-08-2005,7.091091156,7.262261868,7.048048019,7.250249863,7.224061966,263172564,12,8,2005,263172564
15-08-2005,7.252252102,7.326577187,7.101350784,7.107107162,7.081436634,326661012,15,8,2005,326661012
16-08-2005,7.129128933,7.201951981,7.090590954,7.148397923,7.122577667,284083632,16,8,2005,284083632
17-08-2005,7.144895077,7.171421051,7.107107162,7.134634972,7.108864784,155176668,17,8,2005,155176668
18-08-2005,6.90465498,7.019519806,6.881882191,7.006756783,6.98144865,474437088,18,8,2005,474437088
19-08-2005,7.03178215,7.043292999,6.997497082,7.007007122,6.981698036,221494284,19,8,2005,221494284
22-08-2005,7.038037777,7.043794155,6.840590954,6.857107162,6.832339764,272247480,22,8,2005,272247480
23-08-2005,6.910911083,7.000501156,6.859859943,6.996496201,6.971224785,232635132,23,8,2005,232635132
24-08-2005,6.946196079,7.12587595,6.918168068,7.071321011,7.045779705,343380276,24,8,2005,343380276
25-08-2005,7.070820808,7.107107162,7.006256104,7.071822166,7.046278954,174888936,25,8,2005,174888936
26-08-2005,7.0940938,7.132633209,7.073574066,7.096597195,7.070964336,150061788,26,8,2005,150061788
29-08-2005,7.063063145,7.235235214,7.063063145,7.218468189,7.19239521,235883880,29,8,2005,235883880
30-08-2005,7.191942215,7.244995117,7.154153824,7.188939095,7.162972927,191488320,30,8,2005,191488320
31-08-2005,7.212963104,7.219719887,7.116116047,7.157156944,7.131305218,201158640,31,8,2005,201158640
01-09-2005,7.154904842,7.194694996,7.132132053,7.163413048,7.13753891,109574316,1,9,2005,109574316
02-09-2005,7.169919968,7.257007122,7.168168068,7.218468189,7.19239521,137242620,2,9,2005,137242620
